ID,NAME,INDUSTRY,GENRE,LANGUAGE,DURATION,RATING
1,Bahubali,Tollywood,Action,Telugu,170,9.5
2,Brahmastra,Bollywood,Mysterious,Hindi,180,0
3,Uri,Bollywood,Action,Hindi,120,10
4,DDLJ,Bollywood,Romantic,Hindi,150,10
5,Avenger-End Game,Hollywood,Action,English,180,9
6,Tenet,Hollywood,SciFi,English,150,6.5
7,Major,Bollywood,Action,Hindi,140,8
8,Interstaller,Hollywood,SciFi,English,190,7
9,Gravity,Hollywood,SciFI,English,130,6
10,Titanic,Hollywood,Drama,English,180,9
11,Yeh jawani Hai Deewani,Bollywood,Romantic,Hindi,150,5
12,Houseful,Bollywood,Comedy,Hindi,150,6
13,The Dictator,Hollywood,Comedy,English,120,7
14,Hera Pheri,Bollywood,Comedy,Hindi,140,9
15,Sholay,Bollywood,Drama,Hindi,150,8.5
